Key,English,Russian
Unit.Rookie,Rookie,Новобранец
Unit.Archer,Archer,Лучник
Unit.Priest,Priest,Клирик
Unit.Berserk,Berserk,Берсерк
Unit.Archangel,Archangel,Архангел
Unit.Ghoul,Ghoul,Вурдалак
Unit.Shroud,Banshee,Банши
Unit.Didascalus,Didascalus,Дидаскал
Unit.Morturg,Morturg,Мортург
Unit.Crucible,Crucible,Горнило
Unit.Skeleton,Skeleton,Скелет
Unit.Peasant,Peasant,Крестьянин
Unit.Mourner,Mourner,Зомби
Unit.WorkerProject,Worker,Рабочий
Unit.ScoutProject,Scout,Разведчик
Unit.ShooterProject,Shooter,Стрелок
Unit.WarriorProject,Warrior,Воин
Unit.WizardProject,Wizard,Маг
Unit.CommanderProject,Commander,Командир
